color,Director_Name,num_Critic_for_reviews,duration,director_Facebook_likes,actor_3_Facebook_likes,Actor_1_Facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,real_domestic_gross,real_budget,profit,roi,genre_Music,genre_Crime,genre_Game-Show,genre_Horror,genre_Sci-Fi,genre_Documentary,genre_News,genre_Short,genre_War,genre_Drama,genre_Thriller,genre_Western,genre_Fantasy,genre_Film-Noir,genre_History,genre_Reality-TV,genre_Family,genre_Mystery,genre_Action,genre_Comedy,genre_Adventure,genre_Sport,genre_Biography,genre_Musical,genre_Animation,genre_Romance
1,1777,298.0,93.0,113.0,113.0,275.0,1,62836,696,0.0,345.0,11,62,2015.0,150.0,6.8,2.35,20000,124622886.17426598,22013336.023773707,-116486365.64581443,-185.5662025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,1952,10.0,109.0,596.0,283.0,622.0,1873,2138,1982,3.0,15.0,11,5,2015.0,525.0,4.5,2.35,677,5846352.686233478,22013336.023773707,-116486365.64581443,-185.5662025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,549,135.0,90.0,23.0,233.0,957.0,954,110788,1997,1.0,258.0,11,62,2005.0,550.0,6.1,2.35,2000,135589499.27884793,122891449.05273937,12698050.226108566,-89.66726299999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1795,330.0,101.0,176.0,282.0,11000.0,94,245621,12406,1.0,514.0,11,62,2010.0,702.0,6.4,2.35,23000,130221394.9608174,121073348.1307554,9148046.830062002,-92.44421090909091,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,291,159.0,101.0,107.0,56.0,688.0,1371,58498,1031,0.0,99.0,11,62,2014.0,237.0,6.4,2.35,0,133353462.55800977,104423159.13084617,28930303.4271636,-72.29512718446601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
1,1378,344.0,106.0,255.0,850.0,14000.0,1173,229679,18003,0.0,637.0,11,62,2010.0,1000.0,5.8,2.35,15000,179620142.0955993,137583350.14858568,42036791.94701362,-69.44630879999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1733,196.0,113.0,719.0,217.0,605.0,1670,240241,1441,0.0,391.0,11,62,1990.0,308.0,7.5,1.85,0,219280313.16332826,119360788.06426933,99919525.09905893,-16.287813846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1114,85.0,102.0,323.0,241.0,845.0,1949,101411,1815,1.0,546.0,11,62,1999.0,372.0,6.6,2.35,0,47100708.18436975,122452551.02040817,-75351842.83603841,-161.53554352941174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,1448,276.0,123.0,160.0,402.0,12000.0,1447,182661,14017,1.0,681.0,11,62,2007.0,701.0,5.2,2.35,0,134073486.05003376,127355378.67824408,6718107.371789679,-94.72491272727272,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,538,207.0,134.0,123.0,567.0,14000.0,1994,183909,17159,0.0,666.0,11,62,2004.0,850.0,6.7,2.35,0,73231338.6045262,133407808.36421387,-60176469.75968766,-145.10715714285715,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
